image_id,weight
2,2.3061108336107643
4,1.6122216672215286
6,1.8950972367109162
7,2.053580419670792
15,1.0
19,1.9774337611439514
21,2.3061108336107643
25,2.6122216672215286
26,3.0
28,1.6122216672215286
29,2.0748144448143524
31,2.0
34,1.6122216672215286
35,2.6122216672215286
37,2.224443334443057
38,2.0
46,3.0
51,2.303245014858602
52,2.1553974086755168
54,2.3061108336107643
55,2.171322927533187
59,2.6122216672215286
60,2.3426458550663742
63,3.0
64,3.0
67,2.3061108336107643
70,2.3061108336107643
73,2.0
75,2.0748144448143524
78,2.3061108336107643
79,1.342645855066374
80,2.3120993081897727
81,1.342645855066374
85,1.0
88,1.8950972367109162
89,2.3061108336107643
91,1.9774337611439514
93,2.0
94,2.0
95,2.0
103,1.9774337611439514
106,1.685291710132748
108,2.3182891740959675
109,2.3243179269404135
111,1.6122216672215286
123,1.8950972367109162
124,2.171322927533187
126,1.8950972367109162
132,1.8950972367109162
134,1.6122216672215286
135,1.685291710132748
138,1.6122216672215286
139,1.342645855066374
141,1.342645855066374
147,1.8950972367109162
151,1.0
157,2.936297924569319
158,1.6122216672215286
170,1.8950972367109162
175,1.8738632115673557
176,3.0
179,2.3333333333333335
180,2.7202470863374586
183,3.0
184,3.0
188,2.6410054948575206
199,2.3333333333333335
205,1.8950972367109162
208,2.4475486183554582
210,2.3333333333333335
217,2.169206593829025
223,2.4156764349394004
231,2.181947008915161
237,2.3076721615241875
240,2.3076721615241875
243,2.3076721615241875
244,2.4156764349394004
249,2.3120993081897727
250,2.171322927533187
258,2.3182891740959675
260,2.432148251802475
268,2.171322927533187
275,2.3243179269404135
276,2.169206593829025
277,2.3182891740959675
283,2.4448886668886116
285,2.3370583420265496
288,2.432148251802475
290,2.181947008915161
294,2.4065761384493034
301,2.4065761384493034
305,2.0
306,1.9774337611439514
311,1.6122216672215286
312,1.8950972367109162
315,2.0748144448143524
318,2.4840744811423296
325,2.4807541211431405
326,1.9774337611439514
331,2.0748144448143524
338,2.0748144448143524
343,2.3182891740959675
344,2.181947008915161
348,2.181947008915161
349,2.1553974086755168
351,2.181947008915161
355,1.685291710132748
356,1.8950972367109162
358,1.0
359,2.3370583420265496
363,1.342645855066374
369,1.0
375,2.0748144448143524
377,2.6122216672215286
379,2.6122216672215286
395,2.0748144448143524
397,2.0748144448143524
403,3.0
409,2.6560496540948866
411,2.5173699478145815
412,2.5173699478145815
413,2.6
414,2.5173699478145815
415,2.6
418,2.5872595849138635
422,2.6
424,2.5872595849138635
425,2.169206593829025
430,2.526790209835396
447,2.3120993081897727
451,2.290185314753094
458,1.9774337611439514
459,2.290185314753094
462,2.0748144448143524
476,2.3182891740959675
478,1.9774337611439514
479,2.171322927533187
480,2.3076721615241875
483,1.9774337611439514
484,1.8950972367109162
497,2.7370583420265495
500,2.3182891740959675
508,1.8950972367109162
510,1.9774337611439514
511,1.342645855066374
512,1.342645855066374
513,2.3061108336107643
516,1.8738632115673557
520,2.181947008915161
524,2.181947008915161
527,2.169206593829025
528,2.4065761384493034
530,2.3076721615241875
533,2.171322927533187
541,2.432148251802475
542,1.961508242286281
543,2.526790209835396
544,2.171322927533187
549,2.3243179269404135
551,1.961508242286281
553,2.4065761384493034
556,2.169206593829025
560,2.3426458550663742
562,2.671322927533187
566,1.9774337611439514
568,2.3182891740959675
575,2.3076721615241875
582,2.3370583420265496
584,2.169206593829025
585,2.1553974086755168
587,2.181947008915161
599,2.3076721615241875
600,2.181947008915161
605,1.6365783481919352
608,2.3333333333333335
614,2.0748144448143524
619,2.7202470863374586
620,2.0748144448143524
621,2.6122216672215286
