split,image_id,source,sha256
train,2,UVH-26-Train/data/001/314443.png,c7fb876b0ccd7732bc37462d876036756972f4d1bc413332160278a96f8d3ae7
train,4,UVH-26-Train/data/003/834214.png,1b58fbbfb0f460c5c3c203c669149052fe6de0dff5020831e78e3c2e01859525
train,6,UVH-26-Train/data/001/471803.png,78b518262bbd5d15e84ac476a3cdd1c148073f04a9077860fb805e7a71704956
train,7,UVH-26-Train/data/001/522473.png,d1e31a12a19483b880345b331f4c0f69f115a6c8f23adc07d15c63fd64108fa3
train,15,UVH-26-Train/data/002/531432.png,ebed3635b3f0071918b26d0933dda9f2bf3fd6d64def8b8dfb9701829df5d105
train,19,UVH-26-Train/data/002/619784.png,6ab88a665eb9dcace09455f1872ff158538e2c7412d44a847cdd9166c58e872a
train,21,UVH-26-Train/data/004/974403.png,1125c9268d70c8d35376f200057a6ae93f37df0f9c14aa515b457eee76d22006
train,25,UVH-26-Train/data/003/856856.png,e7cc65d58f1e8d6391f84a72f9563fa184fa90dad154a34925467fbf84d57b9c
train,26,UVH-26-Train/data/000/295593.png,5815cbeb8999c0fdd8e006c8bf3a0db70e19110b9707ee0538bbc8b596b8eccb
train,28,UVH-26-Train/data/002/681969.png,6e4ed092859c5b14cc2a794c2a38df1f3d4636ba6c95e5f54f691f28589d377b
train,29,UVH-26-Train/data/000/288555.png,2119c7c8e968748894de65812c6365e450c4f285e503294257080e1bd12c323f
train,31,UVH-26-Train/data/003/768913.png,014f9652d85a5e19cd3ac8e40c08b2d4c3ac8ebb22dab7e75d3f1d4f393aa789
train,34,UVH-26-Train/data/002/536046.png,ba6fc911dd3f1a5357ed84d8b2605f9a9d5f5443a17c576eaef9b9b6851fb7a4
train,35,UVH-26-Train/data/000/126725.png,626a455e4f123558af88ac162276e33a3dd5999cc0e55e31e71666da320d24d2
train,37,UVH-26-Train/data/002/672431.png,c2e0afc7cca93e18541517f316c928ebcffc7f33068edc8f3e9c11ffab371c5f
train,38,UVH-26-Train/data/003/927501.png,ad13e91e6043316baf7c23d071c7a0f290a6e96cbf6ac9ef8e9de6a2a102ebfb
train,46,UVH-26-Train/data/002/579504.png,c2e85ccc515c94a79056ab5ff02689dd4be834576efb4ad980ac696de8f0c090
train,51,UVH-26-Train/data/001/403057.png,288cb33ebfe3be657df4984f5260e70cd49d4ca922ab38d8e4c5c80663818bd3
train,52,UVH-26-Train/data/003/783069.png,1dffd1172161a36856bd49afd7426e1fc0546bc07bbbde58783b54cd5323349a
train,54,UVH-26-Train/data/001/496131.png,fb31b1a9e0502c747b90f0c93aaa32c718c0b2553ffd290fd75e110d8296b90d
train,55,UVH-26-Train/data/001/469996.png,eacaf1e57e049e487c2f258c50dbc5086d4204576d499657c5fcb322bca1d72f
train,59,UVH-26-Train/data/000/112028.png,2667c6fc7e7692d6415d918ca546ae7266c88749967dd2792cc5bbebef0dd732
train,60,UVH-26-Train/data/001/499411.png,f6804deebc7ba9bc548c0fe381c2747621038f308d5dd50bb60c07946e416160
